1993, D47,  Phys.Rev., Carlip,  The Modular Group, Operator Ordering, and Time in (2+1)-Dimensional  Gravity
1993, D47,  Phys.Rev., Brown & York,  The Microcanonical Functional Integral. I. The Gravitational Field
1993, B400,  Nucl. Phys., Garay & Garcia-Bellido,  Jordan-Brans-Dicke Quantum Wormholes and Coleman's Mechanism
1993, B301,  Phys.Lett., Golterman & Jansen & Kaplan,  Chern-Simons Currents and Chiral Fermions on the Lattice
1993, B394,  Nucl.Phys., Bowick & Coddington & Han & Harris & Marinari,  The Phase Diagram of Fluid Random Surfaces with Extrinsic Curvature
1993, A8,  Mod. Phys. Lett., Migdal,  Bose Condensation and $Z_N$ Symmetry Breaking in the Mixed Model of  Induced QCD
1993, D47,  Phys.Rev., Preskill & Vilenkin,  Decay of Metastable Topological Defects
1993, D47,  Phys.Rev., Bedaque & Das,  Feynman Parametrization and the Degenerate Electron Gas
1993, B399,  Nucl.Phys., Fewster & Kay,  Model Dependence of Baryon Decay Enhancement by Cosmic Strings
1993, B389,  Nucl. Phys., Cardy,  Critical Exponents of the Chiral Potts Model from Conformal Field Theory
1993, D47,  Phys.Rev., Cognola & Vanzo,  Bose-Einstein condensation of scalar fields on hyperbolic manifolds
1993, B298,  Phys. Lett., Kellendonk & Recknagel,  Virasoro Representations on Fusion Graphs
1993, D47,  Phys.Rev., Siegel,  Green-Schwarz Formulation of Self-Dual Superstring
1993, B401,  Nucl. Phys., LeClair & Vafa,  Quantum Affine Symmetry as Generalized Supersymmetry
1992, B296,  Phys. Lett., Langmann & Semenoff,  Gauge Theories on a Cylinder
1993, B399,  Nucl.Phys., Horne & Horowitz,  Black Holes Coupled to a Massive Dilaton
1993, B395,  Nucl. Phys., Chang & Dowker,  Vacuum energy on orbifold factors of spheres
1993, B399,  Nucl.Phys., Schwarz & Tseytlin,  Dilaton shift under duality and torsion of elliptic complex
1993, D47,  Phys.Rev., Park & Strominger,  Supersymmetry and Positive Energy in Classical and Quantum  Two-Dimensional Dilaton Gravity
1993, B403,  Nucl.Phys., Ossa & Quevedo,  Duality Symmetries from Non--Abelian Isometries in String Theories
1993, B298,  Phys.Lett., Brzezinski & Majid,  Quantum Group Gauge Theory on Classical Spaces
1994, A107,  Nuovo Cim., Destri & Maraner & Onofri,  On the definition of Quantum Free Particle on Curved Manifolds
1993, D47,  Phys.Rev., Waldram,  Charged String-like Solutions of Low-energy Heterotic String Theory
1993, A8,  Int. J. Mod. Phys., Boulatov,  q-deformed lattice gauge theory and 3-manifold invariants
1993, B300,  Phys. Lett., Zegwaard,  The weaving of curved geometries
1993, D47,  Phys.Rev., Anglin,  Influence Functionals and the Accelerating Detector
1993, B299,  Phys. Lett., Cangemi & Jackiw,  Geometric Gravitational Forces on Particles Moving in a Line
1993, B391,  Nucl. Phys., Fujiwara & Igarashi & Kubo & Maeda,  A new insight into BRST anomalies in string theory
1992, B296,  Phys.Lett., Freidel & Maillet,  The universal R-matrix and its associated quantum algebra as functionals
1993, A8,  Int.J.Mod.Phys., Eholzer,  Fusion Algebras Induced by Representations of the Modular Group
1992, B297,  Phys.Lett., Diamandis & Georgalas & Maintas & Mavromatos,  Time-dependent perturbations in two-dimensional String Black Holes
1993, A8,  Int. J. Mod. Phys., Ivanov & Krivonos & Malik,  Boussinesq-type equations from nonlinear realizations of $W_3$
1993, B402,  Nucl.Phys., Curtright & Zachos,  Supersymmetry and the Nonlocal Yangian Deformation Symmetry
1993, A8,  Int. J. Mod. Phys., Percacci & Sezgin,  Symmetries of P-Branes
1993, D47,  Phys.Rev., Witten,  Some Computations in Background Independent Open-String Field Theory
1993, B400,  Nucl. Phys., de Wit & Vanderseypen & Proeyen,  Symmetry structure of special geometries
1993, B305,  Phys.Lett., Tracy & Widom,  Level-Spacing Distributions and the Airy Kernel
1993, N2,  Theor.Math.Phys., Filippov & Isaev & Kurdikov,  On Paragrassmann Differential Calculus
1992, A7,  Mod.Phys.Lett., Bastianelli,  A note on 2D chiral gravity and chiral bosons
1994, A9,  Mod.Phys.Lett., Rossini & Schaposnik,  Fermionic Coset Models as Topological Models
1993, B394,  Nucl. Phys., Bytsenko & Elizalde & Odintsov & Zerbini,  A Novel Representation for the Free Energy in String Theory at Non-Zero  Temperature
1993, B307,  Phys. Lett., Nishino,  Exact Solutions for Self--Dual Yang--Mills and Self--Dual Tensor  Multiplets on Gravitational Instanton Background
1993, B401,  Nucl.Phys., Bardakci,  A Candidate For The QCD String Based On Non-Backtracking Random Walks
1994, B424,  Nucl. Phys., Rao & Sen,  Non-linear Field Theory of a Frustrated Heisenberg Spin Chain
1993, B405,  Nucl. Phys., de Roo & Suelmann & Wiedemann,  The Supersymmetric Effective Action of the Heterotic String in Ten  Dimensions
1993, A26,  J.Phys., Carreau,  Four-Parameter Point-Interaction in 1-D Quantum Systems
1993, B404,  Nucl.Phys., Montano & Rivlis,  Solving Topological 2D Quantum Gravity Using Ward Identities
1993, A8,  Mod.Phys.Lett., Das,  Matrix Models and Black Holes
1993, B298,  Phys.Lett., Cardoso & Ovrut,  Natural Supergravity Inflation
1992, A7,  Mod. Phys. Lett., Dhar & Mandal & Wadia,  Stringy Quantum Effects in 2-Dimensional Black-Hole
1993, B405,  Nucl.Phys., Hassan & Sen,  Marginal Deformations of WZNW and Coset Models from O(d,d)  Transformation
1993, A8,  Int.J.Mod.Phys., Dunbar & Joshi,  Characters for Coset Conformal Field Theories
1993, B398,  Nucl.Phys., Isidro & Labastida & Ramallo,  Polynomials for Torus Links from Chern-Simons Gauge Theories
1993, A26,  J.Phys., Gehlen & Honecker,  Multi-particle structure in the Z_n-chiral Potts models
1992, B294,  Phys.Lett., Sagnotti,  A Note on the Green - Schwarz Mechanism in Open - String Theories
1993, B303,  Phys.Lett., Avan & Talon,  Classical R-matrix structure for the Calogero model
1993, B304,  Phys.Lett., Brekke & Dykstra & Falk & Imbo,  Novel Spin and Statistical Properties of Nonabelian Vortices
1993, B299,  Phys. Lett., Freeman & West,  $W_3$ string scattering
1992, A7,  Mod.Phys.Lett., Guruswamy & Rajeev,  Two Dimensional Quantum Chromodynamics on a Cylinder
1993, B300,  Phys.Lett., Tollsten,  On Anomaly-free Supergravity as an Effective String Theory
1992, D46,  Phys.Rev., de Sande & Pinsky,  Renormalization of Tamm-Dancoff Integral Equations
1993, B301,  Phys. Lett., Galperin & Ogievetsky,  Harmonic potentials for symmetric quaternionic sigma-models
1993, A8,  Mod. Phys. Lett., Dickey,  Additional symmetries of KP, Grassmannian, and the string equation II
1993, C57,  Z. Phys., Forste,  Non critical super strings on world sheets of constant curvature
1994, D49,  Phys.Rev., Gershon,  Coset Models Obtained by Twisting WZW Models and Stringy Charged Black  Holes in Four Dimensions
1993, B299,  Phys. Lett., Gates & Nishino,  Supersymmetric Soluble Systems Embedded in Supersymmetric Self--Dual  Yang--Mills Theory
1993, B306,  Phys.Lett., Qiu,  Point-Like Interactions in String Theory Induced by 2-D Topological  Gravity
1993, A26,  J.Phys., Tsai & Shapir,  On the Scale-Invariant Distribution of the Diffusion Coefficient for  Classical Particles Diffusing in Disordered Media.-
1993, D2,  Int. J. Mod. Phys., Ishikawa & Ueda,  The Wave Function of the Universe by the New Euclidean Path-integral  Approach in Quantum Cosmology
1993, B300,  Phys. Lett., Greensite,  Dynamical Origin of the Lorentzian Signature of Spacetime
1992, A172,  Phys. Lett., Hecht & Hehl & McCrea & Mielke & Ne'eman,  Improved Energy-Momentum Currents in Metric-Affine Spacetime
1993, D47,  Phys.Rev., Gell-Mann & Hartle,  Classical Equations for Quantum Systems
1993, B390,  Nucl. Phys., Henkel & Peschanski,  Intermittency Studies in Directed Bond Percolation
1992, B297,  Phys.Lett., Soto & Tzani,  Anomalies in the effective theory of heavy quarks
1994, C63,  Z. Phys., Ritschel,  Non-Gaussian Corrections to Higgs Mass in Autonomous lambda phi**4
1993, C60,  Z.Phys., Kapetanakis & Mondragon & Zoupanos,  Finite Unified Models
1993, B400,  Nucl.Phys., Dodelson & Gradwohl,  How Effective is the Effective Potential?
1993, B407,  Nucl.Phys., Faraggi,  Generation Mass Hierarchy in Superstring Derived Models
1993, A8,  Mod. Phys. Lett., Isse,  Unification of Gravity, Gauge and Higgs Fields by Confined Quantum  Fields-Mathematical Formulation-
1993, A8,  Mod. Phys. Lett., Elizalde & Odintsov,  Gravitational Phase Transitions in Infrared Quantum Gravity
1993, A8,  Int.J.Mod.Phys., Petersen,  A Quadratic Deformation of the Heisenberg-Weyl and Quantum Oscillator  Enveloping Algebras
1993, D47,  Phys.Rev., Trivedi,  Semiclassical Extremal Blackholes
1993, A8,  Mod.Phys.Lett., Danielsson,  Black Hole Uncertainties
1993, A8,  Mod.Phys.Lett., Das & Galvao,  Self-duality and the Supersymmetric KdV Hierarchy
1993, D47,  Phys.Rev., Kallosh & Ortin & Peet,  Entropy and Action of Dilaton Black Holes
1994, A9,  Int. J. Mod. Phys., Benoit & Saint-Aubin,  Fusion and the Neveu-Schwarz Singular Vectors
1993, B301,  Phys. Lett., Gamboa & Ramirez,  Hamiltonian Approach to $2D$ Supergravity
1993, A8,  Mod. Phys. Lett., Grundberg & Lindstrom & Nordstrom,  Discretization of the Superparticle Path Integral
1993, B300,  Phys. Lett., Berkovits,  Lorentz-Covariant Green-Schwarz Superstring Amplitudes
1993, B300,  Phys.Lett., Stieberger,  Moduli and Twisted Sector Dependence of Z_N x Z_M Orbifold Couplings
1993, B311,  Phys.Lett., Chaichian & Gomes & Kulish,  Operator Formulation of q-Deformed Dual String Model
1993, D47,  Phys.Rev., Banks & O'Loughlin & Strominger,  Black Hole Remnants and the Information Puzzle
1993, A8,  Mod. Phys. Lett., Isse,  Unification of Gravity, Gauge and Higgs Fields by Confined Quantum  Fields II -Effective Theory-
1993, B298,  Phys. Lett., Castellani,  R matrix and bicovariant calculus for the inhomogeneous quantum groups  IGL_q(n)
1993, A8,  Mod.Phys.Lett., Nahm & Recknagel & Terhoeven,  Dilogarithm Identities in Conformal Field Theory
1994, D49,  Phys.Rev., Kim & Lee,  Vortex Dynamics in Self-Dual Chern-Simons Higgs Systems
1992, B297,  Phys.Lett., Park,  A Master Equation for Multi-Dimensional Non-Linear Field Theories
1993, B394,  Nucl.Phys., David & Duplantier & Guitter,  Renormalization Theory for Interacting Crumpled Manifolds
1993, B401,  Nucl.Phys., Bershadsky & Lerche & Nemeschansky & Warner,  Extended N=2 Superconformal Structure of Gravity and W-Gravity Coupled  to Matter
1993, B301,  Phys.Lett., Khastgir & Maharana,  Wormholes and symmetries of string effective action
1994, A9,  Int. J. Mod. Phys., Nishino,  Self--Dual Supergravity and Supersymmetric Yang--Mills Coupled to  Green--Schwarz Superstring
1993, D47,  Phys.Rev., Boyanovsky & de Vega,  Quantum Rolling Down out of Equilibrium
1993, B108,  Nuovo Cim., Solodukhin,  Non-abelian gauge antisymmetric tensor fields
1993, B405,  Nucl.Phys., Kreuzer & Skarke,  All Abelian Symmetries of Landau-Ginzburg Potentials
1993, B392,  Nucl. Phys., Asorey & Esteve & Salas,  Rigorous Analysis of Renormalization Group Pathologies in the 4-State  Clock Model
1993, B312,  Phys. Lett., Lee & Mende,  Semiclassical Tunneling in 1+1 Dimensional String Theory
1993, B393,  Nucl.Phys., Fring & Mussardo & Simonetti,  Form Factors for Integrable Lagrangian Field Theories, the Sinh-Gordon  Model
1993, B409,  Nucl. Phys., Gauntlett & Harvey & Liu,  Magnetic Monopoles in String Theory
1993, B300,  Phys.Lett., Russo,  Black hole formation in $c=1$ String Field Theory
1993, D47,  Phys.Rev., Tseytlin,  Finite sigma models and exact string solutions with Minkowski signature  metric
1993, B401,  Nucl.Phys., Perry & Teo,  Topological Conformal Gravity in Four Dimensions
1993, A8,  Mod.Phys.Lett., Boulatov,  Infinite Tension Strings at D>1
1993, N3,  Theor.Math.Phys., Zupnik,  Minimal deformations of the commutative algebra and the linear group  GL(n)
1993, A26,  J.Phys., Jimbo & Miwa & Nakayashiki,  Difference equations for the correlation functions of the eight vertex  model
1993, B398,  Nucl.Phys., Cappelli & Dunne & Trugenberger & Zemba,  Conformal Symmetry and Universal Properties of Quantum Hall States
1993, B300,  Phys.Lett., Cleaver & Lewellen,  On Modular Invariant Partition Functions for Tensor Products of  Conformal Field Theories
1994, A9,  Int.J.Mod.Phys., Ferrari,  Multivalued Fields on the Complex Plane and Braid Group Statistics
1993, D47,  Phys.Rev., McKeon & Rebhan,  Thermal Green's Functions from Quantum Mechanical Path Integrals
1993, B302,  Phys. Lett., Ishikawa & Kato,  Equivalence of BRST cohomologies for 2-d black hole and c=1 Liouville  theory
1993, B405,  Nucl. Phys., Kiritsis,  Exact Duality Symmetries in CFT and String Theory
1993, B304,  Phys. Lett., Mikovic,  Two-dimensional dilaton gravity in a unitary gauge
1993, B301,  Phys.Lett., Bakas & Kiritsis,  Target Space Description of W-Infinity Symmetry in Coset Models
1993, A8,  Int. J. Mod. Phys., Randjbar-Daemi & Strathdee,  The Renormalization Group for Flag Manifolds
1993, B301,  Phys.Lett., Gervais & O'Raifeartaigh & Razumov & Saveliev,  Gauge Conditions for the Constrained-WZNW--Toda Reductions
1993, A179,  Phys.Lett., Isaev & Pyatov,  GLq(N)-Covariant Quantum Algebras and Covariant Differential Calculus
1993, D47,  Phys.Rev., Mazzitelli & Russo,  Dilaton Quantum Cosmology in Two Dimensions
1993, A8,  Int.J.Mod.Phys., Batalin & Tyutin,  On possible generalizations of field--antifield formalism
1993, B410,  Nucl. Phys., Sano & Shiraishi,  The Non-perturbative Canonical Quantization of the N=1 Supergravity
1994, A9,  Int. J. Mod. Phys., Cortes & Gamboa & Velazquez,  Electromagnetic Interaction of Anyons in Non-Relativistic Quantum Field  Theory
1993, B401,  Nucl. Phys., de Boer & Goeree,  The Effective Action of $W_3$ Gravity to All Orders
1993, B405,  Nucl. Phys., de Boer & Goeree,  KPZ Analysis for $W_3$ Gravity
1994, A9,  Int. J. Mod. Phys., Aldrovandi & Bonora & Bonservizi & Paunov,  Free field representation of Toda field theories
1993, B406,  Nucl.Phys., Dorey & Ravanini,  Generalising the staircase models
1993, B308,  Phys.Lett., Felce & Samols,  Low-Energy Dynamics of String Solitons
1993, B404,  Nucl. Phys., Anselmi & Fre',  Topological Twist in Four Dimensions, R-Duality and Hyperinstantons
1993, B398,  Nucl. Phys., Petersen & Taormina,  Coset Construction and Character Sumrules for the Doubly Extended $N=4$  Superconformal Algebras
1993, B303,  Phys.Lett., Atkinson & Gusynin & Maris,  Chiral Symmetry Breaking with the Curtis-Pennington Vertex
1993, B303,  Phys.Lett., Hakobyan & Sedrakyan,  R-matrices for highest weight representations of sl_q(2,C) at roots of  unity
1993, A8,  Int. J. Mod. Phys., Perret,  A classical N=4 super W_3 algebra
1993, B400,  Nucl.Phys., Honecker,  Automorphisms of W-Algebras and Extended Rational Conformal Field  Theories
1993, B300,  Phys. Lett., Vecchia & Moshe,  On the Double Scaling Limit of O(N) Vector Models in d=2
1993, B7,  Int.J.Mod.Phys., Bernard,  An Introduction to Yangian Symmetries
1993, A8,  Int. J. Mod. Phys., Hamada & Tsuchiya,  Quantum Gravity and Black Hole Dynamics in 1+1 Dimensions
1993, A26,  J.Phys., Francesco & Zuber,  Fusion potentials I
1993, A9,  Theor.Math.Phys., Schnittger & Ellwanger,  Nonperturbative Conditions for Local Weyl Invariance on a Curved World  Sheet
1993, D48,  Phys.Rev., Pirk,  Hadamard States and Adiabatic Vacua
1993, D48,  Phys.Rev., Halliwell & Ortiz,  Sum-over-histories origin of the composition laws of relativistic  quantum mechanics and quantum cosmology
1993, D48,  Phys.Rev., Cangemi & Leblanc & Mann,  Gauge Formulation of the Spinning Black Hole in (2+1)-Dimensional  Anti-de Sitter Space
1993, B395,  Nucl.Phys., Peldan,  Unification of Gravity and Yang-Mills Theory in (2+1)-Dimensions
1994, A9,  Mod.Phys.Lett., Mohammedi,  Discrete Symmetry, Non-Commutative Geometry and Gravity
1993, D48,  Phys.Rev., Bekenstein,  The Relation between Physical and Gravitational Geometry
1993, D47,  Phys.Rev., Gasperini & Giovannini,  Dilaton Contributions to the Cosmic Gravitational Wave Background
1993, D47,  Phys.Rev., Amelino-Camelia & Pi,  Self-consistent Improvement of the Finite Temperature Effective  Potential
1993, A8,  Mod. Phys. Lett., La,  "Vortex Solution in a Multi-Higgs System and Its Physical Implication,"
1993, B302,  Phys. Lett., Bhansali & Hsu,  A New Anomaly Matching Condition?
1993, B404,  Nucl. Phys., Bos,  Explicit Calculation of the Renormalized Singlet Axial Anomaly
1993, D47,  Phys.Rev., Arnold & Bedaque & Das & Vokos,  On the Analytic Structure of the Self-Energy for Massive Gauge Bosons at  Finite Temperature
1993, A26,  J.Phys., Fairlie & Govaerts,  Linearisation of Universal Field Equations
1993, D48,  Phys.Rev., Bender & Pinsky & de Sande,  Spontaneous Symmetry Breaking of phi4(1+1) in Light Front Field Theory
1993, A8,  Mod.Phys.Lett., Matsuo,  Some Additional Solutions of Conformal Turbulence
1993, B302,  Phys.Lett., Dobroliubov & Kogan & Semenoff & Weiss,  Induced QCD Without Local Confinement
1993, A8,  Int.J.Mod.Phys., West,  On the spectrum, no ghost theorem and modular invariance of $W_3$  strings
1993, A8,  Int.J.Mod.Phys., Lu & Nilsson & Pope & Stelle & West,  The Low-level Spectrum of the $W_3$ String
1993, B299,  Phys. Lett., Carfora & Martellini & Marzuoli,  12j-symbols and four-dimensional quantum gravity
1993, A8,  Mod.Phys.Lett., Lowe,  Conformal Models of Two-Dimensional Turbulence
1993, B396,  Nucl.Phys., Hsu & Kutasov,  The Gravitational Sine-Gordon Model
1993, A8,  Int. J. Mod. Phys., Kovner & Rosenstein,  Quarks as topological defects or what is confined inside a hadron?
1993, B307,  Phys. Lett., Khuri,  Geodesic Scattering of Solitonic Strings
1993, A8,  Int. J. Mod. Phys., Dhar & Mandal & Wadia,  A Time-Dependent Classical Solution of C=1 String Field Theory and  Non-Perturbative Effects
1993, A8,  Mod. Phys. Lett., Solodukhin,  Supersymmetric Topological Quantum Field Theories Of Differential Forms  I. Gauge p-forms
1993, B403,  Nucl. Phys., Khuri,  Classical Dynamics of Macroscopic Strings
1993, D47,  Phys.Rev., Bergshoeff & Kallosh & Ortin,  Supersymmetric String Waves
